filename,D1,D2,D3,D4,D5
ACE+CN+LR_S1.mp3,1,1,1,1,1
ACE+CN+LR_S2.mp3,4,1,5,2,3
ACE+CN+LR_S3.mp3,3,3,4,3,2
ACE+CN+LR_S4.mp3,3,1,4,1,1
ACE+CN+LR_S5.mp3,2,1,1,1,1
ACE+MUSE_S1.mp3,1,1,1,1,1
ACE+MUSE_S2.mp3,1,1,1,1,2
ACE+MUSE_S3.mp3,1,1,1,1,1
ACE+MUSE_S4.mp3,2,1,1,2,1
ACE+MUSE_S5.mp3,1,1,2,2,1
ACE_S1.mp3,2,2,4,4,3
ACE_S2.mp3,3,3,5,5,3
ACE_S3.mp3,4,2,5,5,2
ACE_S4.mp3,2,1,4,5,3
ACE_S5.mp3,3,2,3,2,2
MINIMAX_S1.mp3,4,3,5,1,2
MINIMAX_S2.mp3,5,5,5,5,4
MINIMAX_S3.mp3,5,5,5,5,5
MINIMAX_S4.mp3,5,4,5,3,4
MINIMAX_S5.mp3,5,3,4,2,3
MurekaV9_S1.mp3,4,3,5,4,3
MurekaV9_S2.mp3,4,5,5,5,4
MurekaV9_S3.mp3,4,5,5,5,4
MurekaV9_S4.mp3,4,3,5,5,4
MurekaV9_S5.mp3,5,3,3,4,3
SongEcho_S1.mp3,3,1,1,1,1
SongEcho_S2.mp3,5,2,5,3,4
SongEcho_S3.mp3,3,2,2,3,2
SongEcho_S4.mp3,4,5,4,2,3
SongEcho_S5.mp3,3,4,5,3,3
