source_song,model,filename
Song1,ACE-Step,ACE_S1.mp3
Song1,ACE-Step+MCL,ACE+MUSE_S1.mp3
Song1,ACE-Step+SA,ACE+CN+LR_S1.mp3
Song1,MiniMax,MINIMAX_S1.mp3
Song1,Mureka,MurekaV9_S1.mp3
Song1,SongEcho,SongEcho_S1.mp3
Song2,ACE-Step,ACE_S2.mp3
Song2,ACE-Step+MCL,ACE+MUSE_S2.mp3
Song2,ACE-Step+SA,ACE+CN+LR_S2.mp3
Song2,MiniMax,MINIMAX_S2.mp3
Song2,Mureka,MurekaV9_S2.mp3
Song2,SongEcho,SongEcho_S2.mp3
Song3,ACE-Step,ACE_S3.mp3
Song3,ACE-Step+MCL,ACE+MUSE_S3.mp3
Song3,ACE-Step+SA,ACE+CN+LR_S3.mp3
Song3,MiniMax,MINIMAX_S3.mp3
Song3,Mureka,MurekaV9_S3.mp3
Song3,SongEcho,SongEcho_S3.mp3
Song4,ACE-Step,ACE_S4.mp3
Song4,ACE-Step+MCL,ACE+MUSE_S4.mp3
Song4,ACE-Step+SA,ACE+CN+LR_S4.mp3
Song4,MiniMax,MINIMAX_S4.mp3
Song4,Mureka,MurekaV9_S4.mp3
Song4,SongEcho,SongEcho_S4.mp3
Song5,ACE-Step,ACE_S5.mp3
Song5,ACE-Step+MCL,ACE+MUSE_S5.mp3
Song5,ACE-Step+SA,ACE+CN+LR_S5.mp3
Song5,MiniMax,MINIMAX_S5.mp3
Song5,Mureka,MurekaV9_S5.mp3
Song5,SongEcho,SongEcho_S5.mp3
