filename,LLR,PR,PS,IKNR,KC,KCR,LUFS,LRA,SC
ACE+CN+LR_S1.mp3,0.227357,59.0,7.167007,0.987085,0.673598,0.5,-11.967806,5.054754,23.558636
ACE+CN+LR_S2.mp3,0.169118,71.0,5.712145,0.992665,0.800259,0.5,-11.460501,7.374233,22.736761
ACE+CN+LR_S3.mp3,0.168712,61.0,8.778126,0.914373,0.825121,0.555556,-8.890998,13.573577,22.516836
ACE+CN+LR_S4.mp3,0.225182,73.0,8.011333,0.97343,0.864874,0.3125,-9.094657,6.407807,24.049346
ACE+CN+LR_S5.mp3,0.106346,63.0,4.656595,0.976027,0.842554,0.590909,-11.109136,7.60178,22.66173
ACE+MUSE_S1.mp3,0.334719,64.0,8.325256,0.89834,0.687831,0.736842,-13.082672,5.080189,22.740575
ACE+MUSE_S2.mp3,0.195783,79.0,6.51967,0.78979,0.639734,0.578947,-12.427167,4.853584,21.863166
ACE+MUSE_S3.mp3,0.301587,71.0,8.320171,0.918206,0.708106,0.647059,-12.195474,8.48296,24.018177
ACE+MUSE_S4.mp3,0.198413,61.0,6.504979,0.970976,0.892713,0.625,-11.561018,7.553143,23.14491
ACE+MUSE_S5.mp3,0.181356,66.0,5.532745,0.984772,0.837535,0.521739,-13.508051,8.998378,21.683396
ACE_S1.mp3,0.381471,75.0,12.414826,0.959239,0.841277,0.578947,-12.760277,8.014334,22.324547
ACE_S2.mp3,0.260377,70.0,7.918431,0.943609,0.812246,0.647059,-11.58483,3.58723,21.880585
ACE_S3.mp3,0.237537,63.0,12.520541,0.953216,0.926559,0.277778,-10.948004,6.918415,23.992427
ACE_S4.mp3,0.229167,74.0,8.5013,0.916914,0.885566,0.25,-11.727816,6.478063,23.612829
ACE_S5.mp3,0.3531,74.0,10.007704,0.884409,0.735249,0.619048,-12.896198,6.378244,22.039703
MINIMAX_S1.mp3,0.238397,62.0,8.443394,0.974737,0.788163,0.45,-12.827799,6.288834,22.937948
MINIMAX_S2.mp3,0.174286,63.0,7.17374,0.974359,0.678174,0.555556,-11.245313,5.465615,22.627005
MINIMAX_S3.mp3,0.094218,54.0,3.94384,0.997863,0.807387,0.294118,-10.675009,7.56077,23.761468
MINIMAX_S4.mp3,0.17953,34.0,4.054917,0.991625,0.90874,0.125,-9.872965,7.384182,24.058118
MINIMAX_S5.mp3,0.106725,56.0,8.035373,0.954745,0.660507,0.434783,-9.499932,5.267447,23.522909
MurekaV9_S1.mp3,0.312195,62.0,10.154901,0.992701,0.74171,0.705882,-15.443931,4.280776,22.520405
MurekaV9_S2.mp3,0.303944,73.0,8.580427,0.93287,0.749173,0.588235,-15.85531,6.179099,22.511511
MurekaV9_S3.mp3,0.188725,70.0,9.167761,0.95599,0.757849,0.529412,-13.482394,5.13172,23.503814
MurekaV9_S4.mp3,0.195599,61.0,9.64503,0.941463,0.87016,0.25,-16.571511,8.282835,24.606264
MurekaV9_S5.mp3,0.142857,75.0,8.023374,0.955857,0.792539,0.666667,-16.14859,7.772776,23.153853
SongEcho_S1.mp3,0.277132,65.0,8.824366,0.988395,0.727787,0.5,-15.659998,2.210121,22.461989
SongEcho_S2.mp3,0.15903,68.0,5.858726,0.973118,0.793651,0.166667,-14.69807,2.621941,21.166213
SongEcho_S3.mp3,0.322835,62.0,10.047004,0.91623,0.706583,0.352941,-12.915466,5.623505,23.043837
SongEcho_S4.mp3,0.2325,73.0,9.193748,0.982544,0.905525,0.375,-14.543572,6.829944,22.71562
SongEcho_S5.mp3,0.211462,68.0,8.019038,0.974359,0.850032,0.772727,-14.584189,9.030771,21.761209
