dimension,setting,metric,rule_score,baseline_score,delta,CI_low,CI_high,p
D1,3-class,accuracy,0.43333333333333335,0.4666666666666667,-0.033333333333333326,-0.23333333333333334,0.16666666666666663,0.605
D1,3-class,weighted_f1,0.43593406593406586,0.29696969696969694,0.13896436896436892,-0.03898902016947124,0.31854275085379735,0.1282
D2,3-class,accuracy,0.43333333333333335,0.5333333333333333,-0.09999999999999998,-0.33333333333333337,0.16666666666666663,0.3678
D2,3-class,weighted_f1,0.4476543209876543,0.3710144927536232,0.0766398282340311,-0.1760820371473081,0.32526130071478887,0.5764
D3,3-class,accuracy,0.43333333333333335,0.6333333333333333,-0.19999999999999996,-0.4333333333333334,0.06666666666666665,0.0892
D3,3-class,weighted_f1,0.5066666666666666,0.49115646258503404,0.015510204081632561,-0.26285848192969313,0.272348861951082,0.9558
D5,3-class,accuracy,0.3,0.4666666666666667,-0.16666666666666669,-0.39999999999999997,0.06666666666666665,0.1284
D5,3-class,weighted_f1,0.2970819304152637,0.29696969696969694,0.00011223344556676729,-0.22713337908945327,0.2115398550724638,0.967
overall,3-class,accuracy,0.4,0.525,-0.125,-0.23333333333333334,-0.016666666666666663,0.0232
overall,3-class,weighted_f1,0.4200207333398635,0.4638110072689512,-0.043790273929087686,-0.16151861328870834,0.0667960660767152,0.4204
D1,binary,accuracy,0.6,0.7,-0.09999999999999998,-0.2333333333333334,0.033333333333333326,0.0858
D1,binary,weighted_f1,0.5602484472049689,0.5764705882352941,-0.016222141030325155,-0.1323910635420711,0.13151550802138995,0.741
D2,binary,accuracy,0.5666666666666667,0.5333333333333333,0.033333333333333326,-0.2666666666666666,0.30000000000000004,0.7328
D2,binary,weighted_f1,0.5593714927048261,0.3710144927536232,0.18835699995120292,-0.1248035914702581,0.4734848484848485,0.2316
D3,binary,accuracy,0.7666666666666667,0.7,0.06666666666666676,-0.09999999999999998,0.2333333333333334,0.3034
D3,binary,weighted_f1,0.7511111111111112,0.5764705882352941,0.1746405228758171,-0.016771488469601636,0.3750709219858155,0.0724
D5,binary,accuracy,0.43333333333333335,0.5333333333333333,-0.09999999999999998,-0.3333333333333333,0.1333333333333333,0.3274
D5,binary,weighted_f1,0.4314253647586981,0.3710144927536232,0.06041087200507489,-0.18375613465127522,0.2994588744588745,0.6668
overall,binary,accuracy,0.5916666666666667,0.6166666666666667,-0.025000000000000022,-0.10833333333333339,0.06666666666666665,0.5176
overall,binary,weighted_f1,0.5765942751899317,0.5937321937321938,-0.0171379185422621,-0.10844717118113839,0.07277699928706627,0.6696
